"Krasnushkin_DonNaKostylyah" "Kryukov_NaTihomDonu1898" "Kryukov_RechkeLazor1911" "Kryukov_Tatarnik1919" "Kryukov_Vglubine1913" "Kryukov_VojskovojKrugIRossiya1918" "Kryukov_Zyb1909" "Sholokhov_Celina" "Sholokhov_Don1-2" "Sholokhov_Don3-4" "Sholokhov_Sudba"
"было" 0.237047070775483 0.388043013581506 0.345918165645384 0.0595592614651578 0.312197222521262 0.206043956043956 0.485789521474621 0.238726790450928 0.155548782410376 0.265537745496168 0.390447652773994
"бы" 0.358956992888588 0.309119010819165 0.227317651709824 0.178677784395473 0.215308429325008 0 0.354126940888041 0.316855558234869 0.140309205755305 0.247863283830813 0.181603559429765
"мне" 0.0203183203521842 0.256503008977605 0.296501284838901 0.0595592614651578 0.122008109950838 0.0686813186813187 0.0817216017433942 0.376175548589342 0.133477671392687 0.213356001531787 0.917097975120312
"меня" 0.0541821876058246 0.272945509553093 0.276734532516308 0.119118522930316 0.118419636128754 0 0.0953418687006265 0.366530021702435 0.119814602667451 0.200310565540691 0.98065922092073
"до" 0.304774805282763 0.226906507941728 0.0691836331290769 0.297796307325789 0.129185057595005 0.274725274725275 0.181603559429765 0.251748251748252 0.225440633966389 0.215460104110996 0.326886406973577
"ну" 0.0203183203521842 0.187444506560558 0.256967780193714 0.357355568790947 0.261958589012093 0.0686813186813187 0.227004449287206 0.288401253918495 0.151870263907427 0.239867694029819 0.263325161173159
"ее" 0.101591601760921 0.17100200598507 0.11860051393556 0.178677784395473 0.150715900527506 0.618131868131868 0.222464360301462 0.197251024837232 0.210201057311318 0.236501129903085 0.199763915372741
"о" 0.237047070775483 0.332138511624848 0.158134018580747 0.119118522930316 0.27990095812251 1.0989010989011 0.317806229002088 0.188087774294671 0.210201057311318 0.191473334708014 0.0908017797148824
"их" 0.284456484930579 0.14469400506429 0.197667523225934 0 0.276312484300427 0.0686813186813187 0.227004449287206 0.166385338799132 0.180247406644455 0.244496719704079 0.108962135657859
"мы" 0.0609549610565527 0.246637508632313 0.187784147064637 0.0595592614651578 0.247604693723759 0.549450549450549 0.0408608008716971 0.204967446346757 0.207048041451649 0.193577437287223 0.290565695087624
"ему" 0.094818828310193 0.0855010029925351 0.177900770903341 0.0595592614651578 0.161481321993756 0 0.20884409334423 0.214130696889318 0.161329311486437 0.191894155223855 0.281485517116135
"только" 0.291229258381307 0.207175507251143 0.0691836331290769 0.178677784395473 0.0861233717300032 0.137362637362637 0.113502224643603 0.248372317337835 0.0993199995795979 0.199889745024849 0.326886406973577
"они" 0.14222824246529 0.134828504718998 0.217434275548527 0.238237045860631 0.16506979581584 0.206043956043956 0.177063470444021 0.17072582589824 0.127171639673348 0.242813437640712 0.199763915372741
"вы" 0.0541821876058246 0.138117004834095 0.187784147064637 0.0595592614651578 0.143538952883339 0.137362637362637 0.0590211568146736 0.19435736677116 0.176568888141507 0.197364821929799 0.0454008898574412
"уже" 0.115137148662377 0.256503008977605 0.177900770903341 0.178677784395473 0.147127426705422 0 0.245164805230183 0.216059802266699 0.116136084164503 0.165382462725823 0.326886406973577
"был" 0.189637656620386 0.187444506560558 0.256967780193714 0.119118522930316 0.193777586392507 0.0686813186813187 0.249704894215927 0.162044851700024 0.147666242761201 0.179690360264444 0.20884409334423
"сказал" 0.00677277345072807 0.101943503568023 0.187784147064637 0.0595592614651578 0.172246743460006 0.137362637362637 0.290565695087624 0.183747287195563 0.105100528655659 0.219247488753572 0.127122491600835
